國道別,方向,編號,收費區設定里程,小車牌價,起點交流道,迄點交流道,北緯,東經
國3,N,03F-416.8N,6.7,8,崁頂,竹田系統(連接台88),22.557408,120.524761
國3,N,03F-423.2N,2.4,2.8,南州,崁頂,22.501367,120.525775
國3,N,03F-425.9N,5.9,7,林邊(大鵬灣端),南州,22.477464,120.531386
國3甲,S,03A-001.5S,3.6,4.3,台北端,萬芳(動物園、信義快),25.012144,121.562128
國3甲,S,03A-004.1S,1.5,1.8,萬芳(動物園、信義快),木柵(連接國3),25.003864,121.586039
國3甲,N,03A-001.5N,3.6,4.3,萬芳(動物園、信義快),台北端,25.012144,121.562128
國3甲,N,03A-004.1N,1.5,1.8,木柵(連接國3),萬芳(動物園、信義快),25.003864,121.586039
國5,S,05F-000.0S,4.1,4.9,南港系統(連接國3),石碇,25.0350889,121.6229306
國5,S,05F-005.5S,10.5,12.6,石碇,坪林行控專用道,24.9964667,121.6520583
國5,S,05F-028.7S,15.7,18.8,坪林行控專用道,頭城,24.8425694,121.7889667
國5,S,05F-030.9S,6.5,7.8,頭城,宜蘭(四城、大福),24.8237056,121.7862139
國5,S,05F-R11.3S,3.9,4.6,宜蘭(四城、大福),宜蘭(壯圍),24.7339444,121.7819889
國5,S,05F-043.9S,5.7,6.9,宜蘭(壯圍),羅東,24.7110278,121.7894778
國5,S,05F-049.4S,6.9,8.2,羅東,蘇澳,24.6625806,121.79985
國5,N,05F-000.1N,4.1,4.9,石碇,南港系統(連接國3),25.0349722,121.6248611
國5,N,05F-005.5N,10.5,12.6,坪林行控專用道,石碇,24.9961556,121.6520972
國5,N,05F-028.7N,15.7,18.8,頭城,坪林行控專用道,24.8426389,121.7892861
國5,N,05F-030.9N,6.5,7.8,宜蘭(四城、大福),頭城,24.8237056,121.7862139
國5,N,05F-R14.3N,3.9,4.6,宜蘭(壯圍),宜蘭(四城、大福),24.7339167,121.78235
國5,N,05F-043.8N,5.7,6.9,羅東,宜蘭(壯圍),24.7109222,121.7895972
國5,N,05F-052.8N,6.9,8.2,蘇澳,羅東,24.6327167,121.8071667
